id,common_name,scientific_name,other_name,family,origin,type,dimension,dimensions,cycle,attracts,propagation,hardiness,hardiness_location,watering,depth_water_requirement,volume_water_requirement,watering_period,watering_general_benchmark,plant_anatomy,sunlight,pruning_month,pruning_count,seeds,maintenance,care-guides,soil,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,pest_susceptibility,pest_susceptibility_api,flowers,flowering_season,flower_color,cones,fruits,edible_fruit,edible_fruit_taste_profile,fruit_nutritional_value,fruit_color,harvest_season,leaf,leaf_color,edible_leaf,cuisine,medicinal,poisonous_to_humans,poisonous_to_pets,description,default_image,other_images,search_term,temperature_min,temperature_max,plant_name,plant_species,plant_status,plant_location,plant_count
2098,Cilantro,['Coriandrum sativum'],"['coriander', 'Chinese parsley']",Apiaceae,['Western Asia'],Herb,1.50 to 2.00 feet,"{'type': None, 'min_value': 1.5, 'max_value': 2, 'unit': 'feet'}",Annual,[],['Seed Propagation'],"{'min': '2', 'max': '11'}","{'full_url': 'https://perenual.com/api/hardiness-map?species_id=2098&size=og&key=sk-YvR1674ce443bfc8a7624', 'full_iframe': ""<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=2098&size=og&key=sk-YvR1674ce443bfc8a7624'></iframe>""}",Average,"{'unit': 'inches', 'value': '2'}",[],,"{'value': '2-3', 'unit': 'days'}","[{'part': 'flowers', 'color': ['white-pink']}, {'part': 'foliage', 'color': ['green']}, {'part': 'stems', 'color': ['light-green', 'green']}, {'part': 'leaves', 'color': ['green']}, {'part': 'fruits', 'color': ['lime-green']}, {'part': 'petioles', 'color': ['green']}]","['Full sun', 'part shade']",['May'],[],1,Low,http://perenual.com/api/species-care-guide-list?species_id=2098&key=sk-YvR1674ce443bfc8a7624,['Well-drained'],High,False,False,False,False,False,False,,"['Pest resistant', ' Disease resistant']",Coming Soon,True,,White to pink to pale lavender,False,True,False,Coming Soon,Coming Soon,"['green', 'brown']",,True,['green'],True,True,True,0,0,"Cilantro (Coriandrum sativum) is an amazing herb with many uses and benefits. Not only is it a popular ingredient in a variety of cuisines - from Thai to Mexican to Middle Eastern - but it is also used in medicine for centuries. Cilantro contains high levels of calcium, magnesium, potassium, zinc, copper and iron, making it a nutrient-rich addition to your diet. It also contains compounds that act as a natural pesticide, helping to repel insects. In addition to helping to ward off pests, cilantro is also believed to have antioxidant, anti-inflammatory and antimicrobial properties that help to protect against a wide range of health conditions. All in all, cilantro is an amazing herb that has a range of delicious uses.","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/2098_coriandrum_sativum/og/23933935237_ac36e334a3_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2098_coriandrum_sativum/regular/23933935237_ac36e334a3_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/2098_coriandrum_sativum/medium/23933935237_ac36e334a3_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2098_coriandrum_sativum/small/23933935237_ac36e334a3_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2098_coriandrum_sativum/thumbnail/23933935237_ac36e334a3_b.jpg'}",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Parsley,-50,50,Cilantro,Herb,New,"Row 1, Col 1",1
667,Shallot,['Allium cepa'],"['spring onion', 'shallot']",Amaryllidaceae,['Not known in wild'],Bulb,1.00 to 1.50 feet,"{'type': None, 'min_value': 1, 'max_value': 1.5, 'unit': 'feet'}",Perennial,[],"['Seed Propagation', 'Tissue Culture']","{'min': '5', 'max': '10'}","{'full_url': 'https://perenual.com/api/hardiness-map?species_id=667&size=og&key=sk-YvR1674ce443bfc8a7624', 'full_iframe': ""<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=667&size=og&key=sk-YvR1674ce443bfc8a7624'></iframe>""}",Average,"{'unit': 'inches', 'value': '2'}",[],morning,"{'value': '3-5', 'unit': 'days'}","[{'part': 'leaves', 'color': ['green']}, {'part': 'bulbs', 'color': ['white']}]",['full sun'],"['May', 'June', 'July', 'August']",[],1,Moderate,http://perenual.com/api/species-care-guide-list?species_id=667&key=sk-YvR1674ce443bfc8a7624,[],High,False,True,False,False,False,True,Medium,"['Diptera - true flies', ' Rust', '  Pest resistant', ' Deer resistant', ' Rabbit resistant ']",Coming Soon,True,,"Showy, White",False,True,True,Coming Soon,Coming Soon,"['yellow', 'brown']",Fall,True,['green'],True,True,True,0,0,"Onion (Allium cepa) is an amazing and versatile vegetable that has been used in cooking for centuries. Its taste is powerful yet complex, and it adds flavor and texture to many dishes. Onions are incredibly nutritious and are packed with essential vitamins and minerals including vitamin C, folate, iron, and potassium. Not only that, but onions may also have antiseptic, antibiotic, and antioxidant properties. They are an excellent source of dietary fiber and possess anti-inflammatory compounds. Onions are easy to grow in any garden, and they come in a variety of sizes, shapes and colors, making them a unique and beautiful ornamental plant. Its versatility in cooking, nutritional content, and medicinal properties combined with its decorative appearance make the onion a truly remarkable species.","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/667_allium_cepa/og/24466615444_a161c175d3_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/667_allium_cepa/regular/24466615444_a161c175d3_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/667_allium_cepa/medium/24466615444_a161c175d3_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/667_allium_cepa/small/24466615444_a161c175d3_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/667_allium_cepa/thumbnail/24466615444_a161c175d3_b.jpg'}",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Shallot,-20,40,Shallot,Bulb,New,"Row 2, Col 1",1
